
> trainhub@0.1.0 dev
> next dev --webpack

▲ Next.js 16.2.9 (webpack)
- Local:         http://localhost:3000
- Network:       http://192.168.100.107:3000
- Environments: .env
✓ Ready in 757ms
- Experiments (use with caution):
  · cpus: 2

 GET /api/trainer/code-of-conduct 200 in 1421ms (next.js: 1376ms, proxy.ts: 15ms, application-code: 29ms)
 GET /api/trainer/actions 200 in 1431ms (next.js: 1374ms, proxy.ts: 18ms, application-code: 39ms)
 GET /api/notifications 200 in 1435ms (next.js: 1376ms, proxy.ts: 16ms, application-code: 43ms)
 GET /api/trainer/code-of-conduct 200 in 20ms (next.js: 5ms, proxy.ts: 9ms, application-code: 5ms)
 GET /api/notifications 200 in 30ms (next.js: 12ms, proxy.ts: 10ms, application-code: 8ms)
 GET /api/trainer/actions 200 in 39ms (next.js: 21ms, proxy.ts: 8ms, application-code: 9ms)
 GET /api/notifications 200 in 31ms (next.js: 3ms, proxy.ts: 5ms, application-code: 24ms)
 GET /api/notifications 200 in 24ms (next.js: 3ms, proxy.ts: 8ms, application-code: 14ms)
 GET /api/trainer/actions 200 in 29ms (next.js: 9ms, proxy.ts: 8ms, application-code: 12ms)
 GET /api/notifications 200 in 29ms (next.js: 2ms, proxy.ts: 7ms, application-code: 20ms)
 GET /trainer 200 in 159ms (next.js: 62ms, proxy.ts: 6ms, application-code: 91ms)
 GET /api/notifications 200 in 17ms (next.js: 2ms, proxy.ts: 5ms, application-code: 10ms)
 GET /api/trainer/actions 200 in 22ms (next.js: 6ms, proxy.ts: 6ms, application-code: 10ms)
 GET /trainer 200 in 72ms (next.js: 4ms, proxy.ts: 5ms, application-code: 63ms)
 GET /trainer 200 in 92ms (next.js: 3ms, proxy.ts: 7ms, application-code: 82ms)
 GET /trainer 200 in 294ms (next.js: 7ms, proxy.ts: 14ms, application-code: 273ms)
 GET /trainer 200 in 111ms (next.js: 4ms, proxy.ts: 6ms, application-code: 101ms)
 GET /trainer 200 in 229ms (next.js: 7ms, proxy.ts: 9ms, application-code: 213ms)
 GET /trainer 200 in 91ms (next.js: 4ms, proxy.ts: 5ms, application-code: 82ms)
 GET /trainer 200 in 124ms (next.js: 6ms, proxy.ts: 10ms, application-code: 108ms)
 GET /trainer 200 in 96ms (next.js: 4ms, proxy.ts: 7ms, application-code: 85ms)
 GET /api/notifications 200 in 23ms (next.js: 4ms, proxy.ts: 10ms, application-code: 8ms)
 GET /trainer 200 in 85ms (next.js: 4ms, proxy.ts: 6ms, application-code: 74ms)
 GET /trainer/evaluations 200 in 1621ms (next.js: 1570ms, proxy.ts: 7ms, application-code: 44ms)
 GET /api/trainer/evaluations 200 in 838ms (next.js: 729ms, proxy.ts: 89ms, application-code: 20ms)
 GET /api/trainer/evaluations 200 in 20ms (next.js: 4ms, proxy.ts: 8ms, application-code: 8ms)
 GET /trainer/quizzes 200 in 1603ms (next.js: 1554ms, proxy.ts: 6ms, application-code: 43ms)
 GET /api/trainer/quizzes 200 in 895ms (next.js: 855ms, proxy.ts: 10ms, application-code: 30ms)
 GET /api/trainer/quizzes 200 in 25ms (next.js: 3ms, proxy.ts: 14ms, application-code: 8ms)
 GET /trainer/quizzes 200 in 116ms (next.js: 49ms, proxy.ts: 9ms, application-code: 58ms)
 GET /trainer/quizzes 200 in 45ms (next.js: 5ms, proxy.ts: 9ms, application-code: 31ms)
 GET /trainer/quizzes 200 in 263ms (next.js: 6ms, proxy.ts: 14ms, application-code: 242ms)
 GET /trainer/quizzes 200 in 274ms (next.js: 5ms, proxy.ts: 17ms, application-code: 252ms)
 GET /trainer/quizzes 200 in 48ms (next.js: 6ms, proxy.ts: 10ms, application-code: 32ms)
 GET /trainer/quizzes 200 in 46ms (next.js: 6ms, proxy.ts: 7ms, application-code: 33ms)
 GET /api/notifications 200 in 54ms (next.js: 17ms, proxy.ts: 6ms, application-code: 31ms)
 GET /api/trainer/actions 200 in 61ms (next.js: 39ms, proxy.ts: 7ms, application-code: 16ms)
 GET /trainer/quizzes 200 in 48ms (next.js: 5ms, proxy.ts: 8ms, application-code: 35ms)
 GET /api/notifications 200 in 30ms (next.js: 1988µs, proxy.ts: 6ms, application-code: 22ms)
 GET /trainer/quizzes 200 in 38ms (next.js: 4ms, proxy.ts: 7ms, application-code: 27ms)
 GET /trainer/quizzes 200 in 33ms (next.js: 4ms, proxy.ts: 6ms, application-code: 24ms)
 GET /trainer/quizzes 200 in 30ms (next.js: 3ms, proxy.ts: 6ms, application-code: 22ms)
 GET /trainer/quizzes 200 in 62ms (next.js: 4ms, proxy.ts: 8ms, application-code: 50ms)
 GET /api/notifications 200 in 21ms (next.js: 3ms, proxy.ts: 6ms, application-code: 13ms)
 GET /api/trainer/actions 200 in 26ms (next.js: 6ms, proxy.ts: 6ms, application-code: 13ms)
 GET /trainer/quizzes 200 in 50ms (next.js: 5ms, proxy.ts: 7ms, application-code: 38ms)
 GET /trainer/quizzes 200 in 51ms (next.js: 5ms, proxy.ts: 9ms, application-code: 37ms)
 GET /trainer/quizzes 200 in 47ms (next.js: 4ms, proxy.ts: 8ms, application-code: 36ms)
 GET /trainer/quizzes 200 in 72ms (next.js: 5ms, proxy.ts: 11ms, application-code: 56ms)
 GET /trainer/quizzes 200 in 38ms (next.js: 5ms, proxy.ts: 8ms, application-code: 25ms)
 GET /trainer/quizzes 200 in 29ms (next.js: 4ms, proxy.ts: 5ms, application-code: 19ms)
 GET /trainer/quizzes 200 in 34ms (next.js: 4ms, proxy.ts: 7ms, application-code: 24ms)
 GET /trainer/quizzes 200 in 71ms (next.js: 7ms, proxy.ts: 31ms, application-code: 34ms)
 GET /trainer/quizzes 200 in 145ms (next.js: 5ms, proxy.ts: 7ms, application-code: 133ms)
 GET /trainer/quizzes 200 in 25ms (next.js: 4ms, proxy.ts: 4ms, application-code: 18ms)
 GET /trainer/quizzes 200 in 28ms (next.js: 3ms, proxy.ts: 5ms, application-code: 20ms)
 GET /trainer/quizzes 200 in 31ms (next.js: 3ms, proxy.ts: 6ms, application-code: 21ms)
 GET /trainer/quizzes 200 in 33ms (next.js: 4ms, proxy.ts: 7ms, application-code: 23ms)
 GET /trainer/quizzes 200 in 41ms (next.js: 4ms, proxy.ts: 9ms, application-code: 28ms)
 GET /trainer/quizzes 200 in 30ms (next.js: 3ms, proxy.ts: 5ms, application-code: 22ms)
 GET /trainer/quizzes 200 in 32ms (next.js: 3ms, proxy.ts: 5ms, application-code: 24ms)
 GET /trainer/quizzes 200 in 31ms (next.js: 5ms, proxy.ts: 6ms, application-code: 21ms)
 GET /trainer/quizzes 200 in 32ms (next.js: 3ms, proxy.ts: 6ms, application-code: 23ms)
 GET /trainer/quizzes 200 in 41ms (next.js: 5ms, proxy.ts: 8ms, application-code: 29ms)
 GET /trainer/quizzes 200 in 33ms (next.js: 3ms, proxy.ts: 5ms, application-code: 24ms)
 GET /trainer/quizzes 200 in 30ms (next.js: 4ms, proxy.ts: 6ms, application-code: 20ms)
 GET /trainer/quizzes 200 in 30ms (next.js: 3ms, proxy.ts: 5ms, application-code: 22ms)
 GET /trainer/quizzes 200 in 29ms (next.js: 3ms, proxy.ts: 5ms, application-code: 21ms)
 GET /trainer/quizzes 200 in 32ms (next.js: 3ms, proxy.ts: 7ms, application-code: 22ms)
 GET /trainer/quizzes 200 in 31ms (next.js: 4ms, proxy.ts: 5ms, application-code: 22ms)
 GET /trainer/quizzes 200 in 30ms (next.js: 3ms, proxy.ts: 5ms, application-code: 22ms)
 GET /trainer/quizzes 200 in 33ms (next.js: 4ms, proxy.ts: 7ms, application-code: 23ms)
 GET /trainer/quizzes 200 in 35ms (next.js: 3ms, proxy.ts: 6ms, application-code: 25ms)
 GET /trainer/quizzes 200 in 29ms (next.js: 3ms, proxy.ts: 5ms, application-code: 20ms)
 GET /trainer/quizzes 200 in 30ms (next.js: 3ms, proxy.ts: 5ms, application-code: 23ms)
 GET /trainer/quizzes 200 in 33ms (next.js: 3ms, proxy.ts: 6ms, application-code: 25ms)
 GET /trainer/quizzes 200 in 30ms (next.js: 4ms, proxy.ts: 6ms, application-code: 20ms)
 GET /trainer/quizzes 200 in 30ms (next.js: 3ms, proxy.ts: 6ms, application-code: 22ms)
